Question,Answer
Is the note B4 part of the B-minor-ninth chord?,Yes
How many notes are in the B-minor-ninth chord?,5
What are the notes in a B-perfect-fourth minor tetrachord chord?,B4 D4 E4 F#4
Which chord consists of the notes B4 D4 E4 F#4?,B-perfect-fourth minor tetrachord
Is the note B4 part of the B-perfect-fourth minor tetrachord chord?,Yes
How many notes are in the B-perfect-fourth minor tetrachord chord?,4
What are the notes in a B-major-second minor tetrachord chord?,B4 D4 F#4 C#4
Which chord consists of the notes B4 D4 F#4 C#4?,B-major-second minor tetrachord
Is the note B4 part of the B-major-second minor tetrachord chord?,Yes
How many notes are in the B-major-second minor tetrachord chord?,4
What are the notes in a B-minor-augmented tetrachord chord?,B4 D4 F#4 B-4
Which chord consists of the notes B4 D4 F#4 B-4?,B-minor-augmented tetrachord
Is the note B4 part of the B-minor-augmented tetrachord chord?,Yes
How many notes are in the B-minor-augmented tetrachord chord?,4
What are the notes in a B-enigmatic pentachord chord?,B4 D4 F#4 B-4 E4
Which chord consists of the notes B4 D4 F#4 B-4 E4?,B-enigmatic pentachord
Is the note B4 part of the B-enigmatic pentachord chord?,Yes
How many notes are in the B-enigmatic pentachord chord?,5
What are the notes in a B-quartal trichord chord?,B4 C#4 F#4
Which chord consists of the notes B4 C#4 F#4?,B-quartal trichord
Is the note B4 part of the B-quartal trichord chord?,Yes
How many notes are in the B-quartal trichord chord?,3
Which chord consists of the notes B4 E4 F#4?,E-quartal trichord
Is the note B4 part of the E-quartal trichord chord?,Yes
What are the notes in a C#-quartal tetramirror chord?,B4 E4 F#4 C#4
Which chord consists of the notes B4 E4 F#4 C#4?,C#-quartal tetramirror
Is the note B4 part of the C#-quartal tetramirror chord?,Yes
How many notes are in the C#-quartal tetramirror chord?,4
