Chord,Notes
C-minor,C4 E-4 G3
enharmonic equivalent to major seventh above C#,C#4 F4 G#3 C4
enharmonic equivalent to major seventh above C#,C#4 F4 C4 G#3
enharmonic to dominant seventh above G#,C4 G#3 E-4 F#3 G#2
enharmonic to dominant seventh above G#,C4 E-3 F#3 G#3 G#2
enharmonic to dominant seventh above G#,C3 E-3 F#3 G#3 G#2
Bb-major-second major tetrachord,C4 D4 B-3 F3 B-2
Bb-major-second major tetrachord,D3 C4 F3 B-3 B-2
Bb-major-second major tetrachord,C3 D3 F3 B-3 B-2
Bb-major-second major tetrachord,B-4 D4 F4 C4
enharmonic equivalent to major seventh above F#,B-3 F4 C#4 F#3 F#2
enharmonic equivalent to major seventh above F#,C#4 F3 F#3 B-3 F#2
enharmonic equivalent to major seventh above F#,C#3 F3 F#3 B-3 F#2
enharmonic equivalent to major seventh above B,E-4 F#4 B3 B-4 B2
enharmonic equivalent to minor seventh above Eb,E-4 F#4 B-3 C#4
enharmonic equivalent to minor seventh above Eb,E-4 F#4 C#4 B-3
C-major-second major tetrachord,E-3 C4 G#3 B-3 G#2
C-major-second major tetrachord,C3 E-3 G#3 B-3 G#2
C-major-second major tetrachord,G#4 C4 E-4 B-3
enharmonic equivalent to major seventh above C#,G#3 C4 C#4 F3 C#2
enharmonic equivalent to major seventh above C#,C3 C#3 F3 G#3 C#2
Eb-quartal trichord,E-4 B-3 F3 B-2
Eb-quartal trichord,B-3 E-4 F4 B-2
Bb-major,F3 D4 B-3 B-2
enharmonic equivalent to minor seventh above F,G#3 C4 E-4 F4 F2
enharmonic equivalent to minor seventh above F,F4 C4 E-4 G#3
enharmonic equivalent to minor seventh above Bb,F3 C#4 B-3 G#3 B-2
enharmonic equivalent to minor seventh above Bb,C#3 F3 G#3 B-3 B-2
enharmonic equivalent to minor seventh above Bb,B-3 C#4 F4 G#4 B-2
enharmonic equivalent to minor seventh above Eb,C#4 E-4 F#3 B-3 E-2
enharmonic equivalent to minor seventh above Eb,E-3 C#4 F#3 B-3 E-2
enharmonic equivalent to minor seventh above Eb,C#3 E-3 F#3 B-3 E-2
enharmonic equivalent to minor seventh above Bb,C#4 F4 G#4 B-3 B-2
enharmonic equivalent to diminished above G,C#4 G3 B-3 G2
enharmonic equivalent to diminished above G,C#3 G3 B-3 G2
enharmonic equivalent to diminished above G,G4 B-4 C#4
enharmonic equivalent to diminished above G,G4 B-3 C#4
enharmonic equivalent to minor seventh above F,E-4 C4 F3 G#3 F2
enharmonic equivalent to minor seventh above F,F4 C4 G#3 E-4
enharmonic equivalent to minor above F,C4 F3 G#3 F2
enharmonic equivalent to diminished above F,F4 G#3 B3
C#-major pentatonic,B-3 C#4 F#4 E-4 G#3 F#2
enharmonic equivalent to diminished above C,E-3 C4 F#3 C2
enharmonic equivalent to minor above F,G#3 C4 F4 F2
enharmonic equivalent to major seventh above C#,C#4 C4 F3 G#3
enharmonic equivalent to minor seventh above G#,C3 E-3 G#3 F3 G#2
enharmonic equivalent to minor seventh above Eb,C#4 E-3 F#3 B-3 E-2
Eb-quartal trichord,G#4 B-3 E-4 E-2
enharmonic equivalent to minor seventh above F,G#3 E-4 C4 F3 F2
Bb-quartal trichord,F3 C4 B-3 F2
enharmonic equivalent to minor above Eb,F#3 B-3 E-4 E-2
enharmonic equivalent to diminished above F,F4 G#4 B4
enharmonic equivalent to diminished above F,F4 G#4 B3
enharmonic equivalent to minor seventh above F,C4 E-3 F3 G#3 F2
enharmonic equivalent to minor seventh above F,C3 E-3 F3 G#3 F2
enharmonic equivalent to diminished above F,F3 G#3 B3 F2
C#-major pentatonic,C#4 E-4 F#3 B-3 G#3 F#2
C#-major pentatonic,C#4 E-3 F#3 G#3 B-3 F#2
C#-major pentatonic,C#3 E-3 F#3 G#3 B-3 F#2
enharmonic equivalent to major seventh above C#,C#4 G#3 C4 F4
enharmonic equivalent to diminished above C,E-3 F#3 C4 C2
enharmonic equivalent to minor seventh above F,F4 G#3 C4 E-4
Eb-major,E-3 G3 B-3 E-2
Eb-quartal trichord,G#3 E-4 B-3 E-2
Eb-quartal trichord,E-3 G#3 B-3 E-2
Eb-quartal trichord,E-4 G#4 B-3
Eb-quartal trichord,E-4 F3 B-3 B-2
C-minor seventh,C4 E-4 G4 B-3
Bb-quartal trichord,F3 B-3 C3 F2
Bb-quartal trichord,F4 B-3 C4
Bb-quartal trichord,F4 C4 B-3
C-minor,C4 E-3 G3
C#-diminished,C#4 E4 G4
D-major-ninth,D4 F#4 A4 C#4 E4
F#-minor seventh,F#4 A4 C#4 E4
F#-minor-ninth,F#4 A4 C#4 E4 G#4
A-dominant seventh,A4 C#4 E4 G4
A-dominant-ninth,A4 C#4 E4 G4 B4
C#-half-diminished seventh,C#4 E4 G4 B4
C#-diminished-major ninth,C#4 E4 G4 B4 D4
D-major-second major tetrachord,D4 F#4 A4 E4
B-minor seventh,D4 F#4 A4 B4
B-major pentatonic,D4 F#4 A4 B4 E4
D-augmented-sixth pentachord,D4 F#4 A4 C4 G#4
Bb-augmented seventh,D4 F#4 B-4 C4
D-Messiaen's truncated mode 6,D4 F#4 G#4 C4
D-flat-ninth pentachord,D4 F#4 A4 C4 E-4
D-dominant seventh,D4 F#4 A4 C4
D-dominant-ninth,D4 F#4 A4 C4 E4
D-perfect-fourth major tetrachord,D4 F#4 A4 G4
D-perfect-fourth major tetrachord,D4 F#4 G4 A4
Bb-augmented major tetrachord,D4 F#4 B-4 C#4
D-dominant seventh,F#4 A4 C4 D4
F#-diminished seventh,F#4 A4 C4 E-4
enharmonic equivalent to half-diminished seventh above F#,F#4 A4 C#4 E-4
F#-Kumoi pentachord,F#4 A4 C#4 E-4 G#4
D-major-second major tetrachord,F#4 A4 D4 E4
F#-half-diminished seventh,F#4 A4 C4 E4
F#-major pentatonic,F#4 A4 C#4 E4 B4
F#-diminished-major ninth,F#4 A4 C4 E4 G4
F#-perfect-fourth minor tetrachord,F#4 A4 B4 C#4
F#-major-second minor tetrachord,F#4 A4 C#4 G#4
F#-minor-augmented tetrachord,F#4 A4 C#4 F4
F#-enigmatic pentachord,F#4 A4 C#4 F4 B4
F#-minor seventh,A4 C#4 E4 F#4
F#-major pentatonic,A4 C#4 E4 F#4 B4
A-augmented-sixth pentachord,A4 C#4 E4 G4 E-4
F-augmented seventh,A4 C#4 F4 G4
A-French augmented sixth in root position,A4 C#4 E-4 G4
A-flat-ninth pentachord,A4 C#4 E4 G4 B-4
A-perfect-fourth major tetrachord,A4 C#4 E4 D4
A-perfect-fourth major tetrachord,A4 C#4 D4 E4
F-augmented major tetrachord,A4 C#4 F4 G#4
A-major seventh,A4 C#4 E4 G#4
A-major-ninth,A4 C#4 E4 G#4 B4
A-dominant seventh,C#4 E4 G4 A4
C#-diminished seventh,C#4 E4 G4 B-4
enharmonic equivalent to half-diminished seventh above C#,C#4 E4 G#4 B-4
C#-Kumoi pentachord,C#4 E4 G#4 B-4 E-4
A-major-second major tetrachord,C#4 E4 A4 B4
C#-minor seventh,C#4 E4 G#4 B4
C#-major pentatonic,C#4 E4 G#4 B4 F#4
enharmonic equivalent to minor-ninth above C#,C#4 E4 G#4 B4 E-4
C#-perfect-fourth minor tetrachord,C#4 E4 F#4 G#4
C#-major-second minor tetrachord,C#4 E4 G#4 E-4
C#-minor-augmented tetrachord,C#4 E4 G#4 C4
C#-enigmatic pentachord,C#4 E4 G#4 C4 F#4
F#-minor,F#3 A3 C#4 F#2
Eb-major,B-3 E-4 G3 E-2
G#-incomplete half-diminished seventh,D4 F#4 G#3
A-quartal trichord,A4 E4 B3
F#-minor seventh,A3 C#4 F#4 E4 A2
enharmonic equivalent to major seventh above E,E4 G#4 B4 E-4
A-major,E3 A3 C#3 A2
D-quartal trichord,D4 E3 A3
B-minor,D4 B3 F#3 B2
C#-diminished,G3 C#4 E3 C#2
F#-minor,C#4 F#4 A3 F#2
B-minor,F#3 D4 B3 B2
F#-minor,F#3 C#4 A3 F#2
Perfect Fifth with octave doublings above E,E4 B4
enharmonic equivalent to minor above G#,B3 E-4 G#3 G#2
Perfect Fourth with octave doublings above A,A4 E4
C#-minor,E4 C#4 G#3 C#2
A-dominant seventh,A3 C#4 E4 G4 A2
C#-major-second major tetrachord,C#4 B3 E-4 F#3 B2
C-major seventh,E4 G4 B3 C4 C2
B-minor,D3 F#3 B3 B2
A-major-second major tetrachord,E4 B3 C#4 A3 A2
D-major seventh,C#4 D4 F#3 A3 D2
D-major seventh,D3 C#4 F#3 A3 D2
E-quartal trichord,E3 F#3 B3 B2
A-dominant seventh,E4 G4 C#4 A3 A2
F#-minor seventh,C#4 E4 F#3 A3 F#2
E-minor seventh,B3 D4 E4 G4 E2
A-dominant seventh,E4 G3 C#4 A3 A2
D-major,D4 A3 F#4
B-minor seventh,D4 F#4 B3 A4 B2
E-quartal trichord,F#3 E4 B3 B2
G#-diminished,B3 D4 G#4 G#2
A-dominant seventh,C#4 E4 G4 A3 A2
F#-minor,C#3 F#3 A3 F#2
A-quartal trichord,E3 A3 B3 A2
A-quartal trichord,A4 B3 E4
B-minor,F#3 B3 D4 B2
G-quartal trichord,D4 G3 A3
F#-minor seventh,C#4 F#4 A3 E4 A2
F#-minor seventh,C#4 E4 F#4 A3 A2
enharmonic equivalent to major seventh above E,E4 G#4 B3 E-4
enharmonic equivalent to major seventh above E,E4 G#4 E-4 B3
D-quartal trichord,D3 E3 A3 D2
D-quartal trichord,D4 E4 A3
C#-diminished,C#3 E3 G3 C#2
C#-diminished,C#4 E4 G3
Perfect Fourth with octave doublings above E,E4 B3
Perfect Fifth with octave doublings above A,A3 E4 A2
Perfect Fifth with octave doublings above A,E4 A3 A2
C#-minor,E3 C#4 G#3 C#2
C#-minor,C#3 E3 G#3 C#2
C#-minor,C#4 E4 G#4
C#-minor,C#4 E4 G#3
A-dominant seventh,C#4 A3 E4 G3 A2
A-dominant seventh,C#4 E3 G3 A3 A2
A-dominant seventh,C#3 E3 G3 A3 A2
C#-major-second major tetrachord,C#4 E-4 B3 F#3 B2
C#-major-second major tetrachord,E-3 C#4 F#3 B3 B2
C#-major-second major tetrachord,C#3 E-3 F#3 B3 B2
C#-major-second major tetrachord,B4 E-4 F#4 C#4
G-major seventh,B3 F#4 D4 G3 G2
G-major seventh,D4 F#3 G3 B3 G2
G-major seventh,D3 F#3 G3 B3 G2
C-major seventh,E4 G3 C4 B3 C2
A-major-second major tetrachord,E3 C#4 A3 B3 A2
A-major-second major tetrachord,A4 C#4 E4 B3
D-major seventh,A3 C#4 D4 F#3 D2
D-major seventh,C#3 D3 F#3 A3 D2
E-quartal trichord,E4 B3 F#3 B2
E-quartal trichord,B3 E4 F#4 B2
enharmonic equivalent to major above B,F#3 E-4 B3 B2
F#-minor seventh,A3 C#4 E4 F#4 F#2
F#-minor seventh,F#4 C#4 E4 A3
B-minor seventh,F#3 D4 B3 A3 B2
B-minor seventh,D3 F#3 A3 B3 B2
G#-diminished,D4 G#3 B3 G#2
G#-diminished,D3 G#3 B3 G#2
G#-diminished,G#4 B4 D4
G#-diminished,G#4 B3 D4
F#-minor seventh,E4 C#4 F#3 A3 F#2
F#-minor seventh,F#4 C#4 A3 E4
F#-minor,C#4 F#3 A3 F#2
F#-diminished,F#3 C4 A3 F#2
E-major pentatonic,B3 D4 G4 E4 A3 G2
C#-diminished,E3 C#4 G3 C#2
F#-minor,A3 C#4 F#4 F#2
D-major seventh,D4 C#4 F#3 A3
F#-minor seventh,C#3 E3 A3 F#3 A2
A-quartal trichord,A4 B3 E4 E2
F#-minor seventh,A3 E4 C#4 F#3 F#2
B-quartal trichord,F#3 C#4 B3 F#2
F#-minor seventh,C#4 E3 F#3 A3 F#2
F#-minor seventh,C#3 E3 F#3 A3 F#2
E-major pentatonic,D4 E4 G3 B3 A3 G2
E-major pentatonic,D4 E3 G3 A3 B3 G2
E-major pentatonic,D3 E3 G3 A3 B3 G2
D-major seventh,D4 A3 C#4 F#4
C#-diminished,E3 G3 C#4 C#2
F#-minor seventh,F#4 A3 C#4 E4
A-quartal trichord,A3 E4 B3 E2
E-quartal trichord,E4 F#3 B3 B2
C#-minor seventh,C#4 E4 G#4 B3
B-quartal trichord,F#3 B3 C#3 F#2
B-quartal trichord,F#4 B3 C#4
B-quartal trichord,F#4 C#4 B3
C#-minor,C#4 E3 G#3
F#-diminished,F#4 C4 A3
enharmonic equivalent to diminished above D,D4 F4 G#4
Eb-major-ninth,E-4 G4 B-4 D4 F4
G-minor seventh,G4 B-4 D4 F4
G-minor-ninth,G4 B-4 D4 F4 A4
G#-German augmented sixth,B-4 D4 F4 G#4
enharmonic equivalent to dominant-ninth above Bb,B-4 D4 F4 G#4 C4
Eb-major-second major tetrachord,E-4 G4 B-4 F4
C-minor seventh,E-4 G4 B-4 C4
C-major pentatonic,E-4 G4 B-4 C4 F4
A-augmented-sixth pentachord,E-4 G4 B-4 C#4 A4
C#-augmented seventh,E-4 G4 B4 C#4
A-French augmented sixth,E-4 G4 A4 C#4
C#-flat-ninth pentachord,E-4 G4 B-4 C#4 E4
C#-German augmented sixth,E-4 G4 B-4 C#4
enharmonic equivalent to dominant-ninth above Eb,E-4 G4 B-4 C#4 F4
Eb-perfect-fourth major tetrachord,E-4 G4 B-4 G#4
Eb-perfect-fourth major tetrachord,E-4 G4 G#4 B-4
Eb-augmented major tetrachord,E-4 G4 B4 D4
C#-German augmented sixth in second inversion,G4 B-4 C#4 E-4
C#-diminished seventh,G4 B-4 C#4 E4
E-half-diminished seventh,G4 B-4 D4 E4
E-Kumoi pentachord,G4 B-4 D4 E4 A4
Eb-major-second major tetrachord,G4 B-4 E-4 F4
enharmonic equivalent to half-diminished seventh above G,G4 B-4 C#4 F4
G-major pentatonic,G4 B-4 D4 F4 C4
G-diminished-major ninth,G4 B-4 C#4 F4 G#4
G-perfect-fourth minor tetrachord,G4 B-4 C4 D4
G-major-second minor tetrachord,G4 B-4 D4 A4
G-minor-augmented tetrachord,G4 B-4 D4 F#4
G-enigmatic pentachord,G4 B-4 D4 F#4 C4
G-minor seventh,B-4 D4 F4 G4
G-major pentatonic,B-4 D4 F4 G4 C4
E-augmented-sixth pentachord,B-4 D4 F4 G#4 E4
G#-augmented seventh,B-4 D4 F#4 G#4
E-French augmented sixth,B-4 D4 E4 G#4
G#-flat-ninth pentachord,B-4 D4 F4 G#4 B4
Bb-perfect-fourth major tetrachord,B-4 D4 F4 E-4
Bb-perfect-fourth major tetrachord,B-4 D4 E-4 F4
Bb-augmented major tetrachord,B-4 D4 F#4 A4
Bb-major seventh,B-4 D4 F4 A4
Bb-major-ninth,B-4 D4 F4 A4 C4
G-minor,G3 B-3 D4 G2
A-incomplete half-diminished seventh,E-4 G4 A3
Bb-quartal trichord,B-3 F4 C4 B-2
G-minor seventh,B-3 D4 G4 F4 B-2
Eb-quartal trichord,E-3 F3 B-3 E-2
G-minor,D4 G3 B-3 G2
Eb-major,E-4 G3 B-3
C-minor,E-4 G3 C4 C2
Perfect Fourth with octave doublings above Bb,B-4 F4
D-minor,F4 D4 A3 D2
G#-German augmented sixth,B-3 D4 F4 G#4 B-2
C-major-second major tetrachord,D3 C4 E3 G3 C2
enharmonic equivalent to major seventh above G#,C4 E-4 G#3 G3 G#2
enharmonic equivalent to major seventh above C#,F4 G#3 C4 C#4 C#2
Bb-major-second major tetrachord,F3 C4 D4 B-3 B-2
Eb-major seventh,D4 E-3 G3 B-3 E-2
Eb-major seventh,D3 E-3 G3 B-3 E-2
C-minor,G3 C4 E-4 C2
F-quartal trichord,F3 C4 G3 C2
G#-German augmented sixth,F4 G#3 D4 B-3 B-2
G-minor seventh,D4 F3 G3 B-3 G2
enharmonic equivalent to minor seventh above F,C4 E-4 F4 G#3 F2
G#-German augmented sixth,F3 D4 B-3 G#3 B-2
Eb-major,E-4 B-3 G4
C-minor seventh,E-4 G3 C4 B-3 C2
Eb-major,G3 B-3 E-4 E-2
A-diminished,C4 E-4 A3 A2
G#-German augmented sixth,D4 F4 G#4 B-3 B-2
G-minor,D3 G3 B-3 G2
Bb-quartal trichord,F3 C4 B-3 B-2
Bb-quartal trichord,C3 F3 B-3 B-2
Bb-quartal trichord,B-3 C4 F4 B-2
C-minor,G3 C4 E-3 C2
G-minor seventh,D4 G4 B-3 F4 B-2
G-minor seventh,D4 F4 G4 B-3 B-2
F-major seventh,F4 A3 C4 E4
Bb-major,F3 B-3 D3 B-2
Eb-quartal trichord,E-4 F4 B-3
enharmonic equivalent to diminished above D,D4 F4 G#3
C-minor,E-3 G3 C4 C2
Perfect Fifth with octave doublings above Bb,B-3 F4 B-2
Perfect Fifth with octave doublings above Bb,F4 B-3 B-2
G#-German augmented sixth,D4 B-3 F4 G#3 B-2
G#-German augmented sixth,D4 F3 G#3 B-3 B-2
G#-German augmented sixth,D3 F3 G#3 B-3 B-2
C-major-second major tetrachord,D4 C4 E4 G4 C2
C-major-second major tetrachord,C4 E4 G3 D4
C-major-second major tetrachord,C4 E4 D4 G3
enharmonic equivalent to major seventh above G#,C4 G#3 E-3 G3 G#2
enharmonic equivalent to major seventh above G#,C3 E-3 G3 G#3 G#2
enharmonic equivalent to major seventh above G#,G#3 C4 E-4 G4 G#2
enharmonic equivalent to major seventh above C#,F4 C4 C#4 G#3 C#2
Bb-major-second major tetrachord,F3 C4 B-3 D4 B-2
Eb-major seventh,B-3 D4 E-4 G3 E-2
Eb-major seventh,E-3 D4 G3 B-3 E-2
G-minor seventh,D4 F4 G3 B-3 G2
G-minor seventh,D3 F3 G3 B-3 G2
C-minor seventh,G4 B-3 C4 E-4 C2
C-minor seventh,C4 E-3 G3 B-3
C-minor seventh,C3 E-3 G3 B-3 C2
F-quartal trichord,C4 G3 F4
G-minor seventh,F4 D4 G3 B-3 G2
G-minor,D4 G4 B-3 G2
G-minor seventh,G4 D4 B-3 F4
enharmonic equivalent to diminished above G,G3 B-3 C#4 G2
C-major pentatonic,C4 E-4 G#4 F4 B-3 G#2
G-minor,B-3 D4 G4 G2
Eb-major seventh,E-3 G3 D4 B-3 E-2
G-minor seventh,D3 F3 G3 B-3 B-2
Eb-major seventh,E-4 G3 B-3 D4
enharmonic equivalent to minor seventh above F,E-3 F3 C4 G#3 F2
Bb-quartal trichord,B-3 C4 F4 F2
G-minor seventh,F3 G3 D4 B-3 G2
C-quartal trichord,G3 C4 D4 G2
G-minor seventh,G4 B-3 D4 F4
G-minor seventh,G4 D4 F4 B-3
enharmonic equivalent to diminished above G,G4 C#4 B-3
C-major pentatonic,G#4 C4 E-4 F4 B-3
enharmonic equivalent to diminished above D,F3 D4 G#3 D2
enharmonic equivalent to diminished above D,D3 F3 G#3 D2
enharmonic equivalent to major above G#,C4 E-3 G#3 G#2
G-minor seventh,D4 G3 B-3 F4 B-2
G-minor seventh,D4 F3 G3 B-3 B-2
C-minor,G4 C4 E-4 C2
enharmonic equivalent to minor seventh above F,E-4 C4 F4 G#3 F2
Bb-quartal trichord,C4 F3 B-3 F2
Bb-quartal trichord,C3 F3 B-3 F2
F-quartal trichord,F4 G3 C4 C2
C-quartal trichord,G3 C4 D3 G2
C-quartal trichord,C3 D3 G3 G2
enharmonic equivalent to minor above G#,E-3 G#3 B3 G#2
enharmonic equivalent to diminished above Eb,E-4 F#4 A4
enharmonic equivalent to major-ninth above E,E4 G#4 B4 E-4 F#4
enharmonic equivalent to minor seventh above G#,G#4 B4 E-4 F#4
enharmonic equivalent to minor-ninth above G#,G#4 B4 E-4 F#4 B-4
enharmonic to dominant seventh above B,B4 E-4 F#4 A4
enharmonic equivalent to dominant-ninth above B,B4 E-4 F#4 A4 C#4
E-major-second major tetrachord,E4 G#4 B4 F#4
C#-minor seventh,E4 G#4 B4 C#4
C#-major pentatonic,E4 G#4 B4 C#4 F#4
E-augmented-sixth pentachord,E4 G#4 B4 D4 B-4
C-augmented seventh,E4 G#4 C4 D4
E-French augmented sixth in root position,E4 G#4 B-4 D4
E-flat-ninth pentachord,E4 G#4 B4 D4 F4
E-dominant seventh,E4 G#4 B4 D4
E-dominant-ninth,E4 G#4 B4 D4 F#4
E-perfect-fourth major tetrachord,E4 G#4 B4 A4
E-perfect-fourth major tetrachord,E4 G#4 A4 B4
C-augmented major tetrachord,E4 G#4 C4 E-4
E-dominant seventh,G#4 B4 D4 E4
G#-diminished seventh,G#4 B4 D4 F4
enharmonic equivalent to half-diminished seventh above G#,G#4 B4 E-4 F4
Eb-Kumoi pentachord,G#4 B4 E-4 F4 B-4
E-major-second major tetrachord,G#4 B4 E4 F#4
G#-half-diminished seventh,G#4 B4 D4 F#4
C#-major pentatonic,G#4 B4 E-4 F#4 C#4
G#-diminished-major ninth,G#4 B4 D4 F#4 A4
C#-perfect-fourth minor tetrachord,G#4 B4 C#4 E-4
Eb-major-second minor tetrachord,G#4 B4 E-4 B-4
Eb-minor-augmented tetrachord,G#4 B4 E-4 G4
C#-enigmatic pentachord,G#4 B4 E-4 G4 C#4
enharmonic equivalent to minor seventh above B,B4 E-4 F#4 G#4
C#-major pentatonic,B4 E-4 F#4 G#4 C#4
F#-augmented-sixth pentachord,B4 E-4 F#4 A4 F4
Eb-augmented seventh,B4 E-4 G4 A4
F-Messiaen's truncated mode 6,B4 E-4 F4 A4
F#-flat-ninth pentachord,B4 E-4 F#4 A4 C4
Eb-perfect-fourth major tetrachord,B4 E-4 F#4 E4
Eb-perfect-fourth major tetrachord,B4 E-4 E4 F#4
Eb-augmented major tetrachord,B4 E-4 G4 B-4
enharmonic equivalent to major seventh above B,B4 E-4 F#4 B-4
enharmonic equivalent to major-ninth above B,B4 E-4 F#4 B-4 C#4
enharmonic equivalent to minor above G#,G#3 B3 E-4 G#2
C-major,E4 C4 G3 C2
E-incomplete half-diminished seventh,E4 G#4 B-3
B-quartal trichord,B3 F#4 C#4 B2
enharmonic equivalent to minor seventh above B,B3 E-4 G#4 F#4 B2
E-quartal trichord,E3 F#3 B3 E2
enharmonic equivalent to minor above G#,E-4 G#3 B3 G#2
C#-minor,E4 G#3 C#4 C#2
enharmonic equivalent to minor above Eb,F#4 E-4 B-3 E-2
enharmonic to dominant seventh above B,B3 E-4 F#4 A4 B2
C#-major-second major tetrachord,E-3 C#4 F3 G#3 C#2
A-major seventh,C#4 E4 A3 G#3 A2
D-major seventh,F#4 A3 C#4 D4 D2
C#-major-second major tetrachord,F#3 C#4 E-4 B3 B2
enharmonic equivalent to major seventh above E,E-4 E3 G#3 B3 E2
enharmonic equivalent to major seventh above E,E-3 E3 G#3 B3 E2
C#-minor,G#3 C#4 E4 C#2
enharmonic to dominant seventh above B,F#4 A3 E-4 B3 B2
enharmonic equivalent to minor seventh above G#,E-4 F#3 G#3 B3 G#2
F#-minor seventh,C#4 E4 F#4 A3 F#2
enharmonic to dominant seventh above B,F#3 E-4 B3 A3 B2
E-major,E4 B3 G#4
C#-minor seventh,E4 G#3 C#4 B3 C#2
E-major,G#3 B3 E4 E2
enharmonic to dominant seventh above B,E-4 F#4 A4 B3 B2
B-quartal trichord,F#3 C#4 B3 B2
B-quartal trichord,C#3 F#3 B3 B2
B-quartal trichord,B3 C#4 F#4 B2
C#-minor,G#3 C#4 E3 C#2
enharmonic equivalent to minor seventh above B,E-4 G#4 B3 F#4 B2
enharmonic equivalent to minor seventh above B,E-4 F#4 G#4 B3 B2
enharmonic equivalent to major seventh above F#,F#4 B-3 C#4 F4
enharmonic equivalent to major seventh above F#,F#4 C#4 F4 B-3
enharmonic equivalent to major above B,F#3 B3 E-3 B2
E-quartal trichord,E4 F#4 B3
enharmonic equivalent to diminished above Eb,E-4 F#4 A3
C#-minor,E3 G#3 C#4 C#2
enharmonic to dominant seventh above B,E-4 B3 F#4 A3 B2
enharmonic to dominant seventh above B,E-4 F#3 A3 B3 B2
enharmonic to dominant seventh above B,E-3 F#3 A3 B3 B2
C#-major-second major tetrachord,E-4 C#4 F4 G#4 C#2
C#-major-second major tetrachord,C#4 F4 G#3 E-4
C#-major-second major tetrachord,C#4 F4 E-4 G#3
A-major seventh,C#4 A3 E3 G#3 A2
A-major seventh,C#3 E3 G#3 A3 A2
A-major seventh,A3 C#4 E4 G#4 A2
D-major seventh,F#4 C#4 D4 A3 D2
C#-major-second major tetrachord,F#3 C#4 B3 E-4 B2
enharmonic equivalent to major seventh above E,B3 E-4 E4 G#3 E2
enharmonic equivalent to major seventh above E,E3 E-4 G#3 B3 E2
F#-quartal trichord,F#3 C#4 G#3 C#2
enharmonic equivalent to minor seventh above G#,E-4 F#4 G#3 B3 G#2
enharmonic equivalent to minor seventh above G#,E-3 F#3 G#3 B3 G#2
C#-minor seventh,G#4 B3 C#4 E4 C#2
C#-minor seventh,C#4 E3 G#3 B3
C#-minor seventh,C#3 E3 G#3 B3 C#2
F#-quartal trichord,C#4 G#3 F#4
enharmonic equivalent to minor seventh above G#,F#4 E-4 G#3 B3 G#2
enharmonic equivalent to minor above G#,E-4 G#4 B3 G#2
enharmonic equivalent to minor seventh above G#,G#4 E-4 B3 F#4
G#-diminished,G#3 B3 D4 G#2
F#-major pentatonic,C#4 E4 A4 F#4 B3 A2
enharmonic equivalent to minor above G#,B3 E-4 G#4 G#2
enharmonic equivalent to major above G#,G#3 C4 E-3 G#2
enharmonic equivalent to major seventh above E,E3 G#3 E-4 B3 E2
enharmonic equivalent to minor seventh above B,E-3 F#3 G#3 B3 B2
enharmonic equivalent to major seventh above E,E4 G#3 B3 E-4
F#-minor seventh,E3 F#3 C#4 A3 F#2
B-quartal trichord,B3 C#4 F#4 F#2
enharmonic equivalent to minor seventh above G#,F#3 G#3 E-4 B3 G#2
C#-quartal trichord,G#3 C#4 E-4 G#2
A-minor,A3 E4 C4 A2
enharmonic equivalent to minor seventh above G#,G#4 B3 E-4 F#4
enharmonic equivalent to minor seventh above G#,G#4 E-4 F#4 B3
G#-diminished,G#4 D4 B3
enharmonic equivalent to diminished above D,G#3 D4 F3 D2
F#-major pentatonic,A4 C#4 E4 F#4 B3
enharmonic equivalent to diminished above Eb,F#3 E-4 A3 E-2
enharmonic equivalent to diminished above Eb,E-3 F#3 A3 E-2
A-major,C#4 E3 A3 A2
enharmonic equivalent to minor seventh above B,E-4 G#3 B3 F#4 B2
enharmonic equivalent to minor seventh above B,E-4 F#3 G#3 B3 B2
C#-minor,G#4 C#4 E4 C#2
F#-minor seventh,E4 C#4 F#4 A3 F#2
B-quartal trichord,C#4 F#3 B3 F#2
B-quartal trichord,C#3 F#3 B3 F#2
F#-quartal trichord,F#4 G#3 C#4 C#2
C#-quartal trichord,G#3 C#4 E-3 G#2
C#-quartal trichord,C#3 E-3 G#3 G#2
B-incomplete half-diminished seventh,F3 A3 B3 F2
B-incomplete half-diminished seventh,F4 A4 B4
Bb-major,F4 D4 B-3 B-2
C-quartal trichord,C4 G3 D4
A-minor seventh,C4 E4 A3 G4
C-dominant seventh,C4 E4 G4 B-3
D-major-second major tetrachord,E3 D4 F#3 A3 D2
Bb-major seventh,D4 F4 B-3 A3 B-2
Eb-major seventh,G4 B-3 D4 E-4 E-2
C-major-second major tetrachord,G3 D4 C4 E4 C2
F-major seventh,C4 E3 F3 A3 F2
F-major seventh,C3 E3 F3 A3 F2
C-dominant seventh,G4 B-3 C4 E4 C2
G-minor seventh,D4 G3 B-3 F3 G2
D-minor seventh,F4 C4 D4 A3 D2
C-major,E4 G3 C4 C2
B-incomplete half-diminished seventh,F4 A4 B3
Bb-quartal trichord,F3 B-3 C4 F2
A-minor seventh,C4 E4 G4 A3
G-major seventh,G4 B3 D4 F#4
G-major seventh,G4 D4 F#4 B3
F-quartal trichord,F3 C4 G3 F2
F-quartal trichord,C3 F3 G3 F2
F-quartal trichord,F4 G3 C4
C-dominant seventh,C4 E3 G3 B-3
C-dominant seventh,C3 E3 G3 B-3 C2
